SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,Hotttnesss,TimeSignature,TimeSignatureConfidence,Title,Year
4650,"SOZWDHS12AB0188A33",509285,"Ao Vivo","AR0CWSC1187B9AFE3F",nan,"",nan,"José Augusto",0.0,284.70812,0,0.106,98.859,nan,4,0.326,"Pecado De Amor",0
3098,"SOIZRPR12AB0180BF1",343272,"Return","ARFCOGY1187FB454B4",nan,"Detroit MI",nan,"The Winans",0.0,263.20934,10,0.282,104.856,0.0,4,1.0,"Free (Album Version)",0
1515,"SOHDNUO12AB0183EC1",359570,"Don Leopardo","AR02YGA1187B9B8AC4",-34.60852,"Buenos Aires",-58.37354,"Bersuit Vergarabat",0.0,180.11383,7,1.0,126.531,0.270775998946,4,0.223,"Bolivian Surf",1996
4190,"SOLXKCY12A81C20EFC",275719,"The Secret Garden","ARLE1JH1187B9B630B",nan,"",nan,"Zbigniew Preisner",0.0,50.99057,2,0.0,125.15,0.450992311636,4,0.0,"Colin Tries Standing",1993
7872,"SOKETYB12AB018308E",553590,"The World Of Tammy Wynette","ARM5JLS1187FB3615B",34.27611,"Itawamba County MS",-88.35068,"Tammy Wynette",0.0,148.00934,9,0.842,76.907,0.0,4,0.787,"It Is No Secret (What God Can Do)",0
4974,"SOXKUPF12A8C13FA8B",174629,"Sylvester Weaver Vol. 2 (1927)","ARPJNT81187B98AD36",38.25486,"Louisville KY",-85.7664,"Sylvester Weaver",0.0,182.77832,4,0.706,88.887,nan,4,0.0,"Alligator Blues",0
9498,"SOWPAXV12A67ADA046",68118,"Ultimate Girl Groups","ARUQ6301187FB54EBA",nan,"",nan,"Salt-N-Pepa",0.0,207.62077,4,0.252,127.597,0.8061197688,4,0.822,"Push It",1988
4533,"SOTHGTJ12A8C13399D",391347,"Cherry Pie","AR261YW1187FB374B3",nan,"GERMANY",nan,"Warrant",0.0,201.03791,4,0.169,177.152,0.800849690884,4,0.076,"Cherry Pie",0
2476,"SOYYAKA12A58A7D409",446325,"1937/40 Broadcasts","ARGDLJR1187B98D048",nan,"",nan,"Bob Crosby",0.0,171.85914,0,0.513,100.317,0.265861049211,4,1.0,"Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago)",0
4541,"SODVRAB12AB018DD17",817501,"Tonic","ARFM7OI1187B990C49",nan,"",nan,"Tonic",0.0,184.68526,2,1.0,156.028,0.6387456399,4,1.0,"Where Do I Fit",0
7711,"SOQENPJ12AB0180997",532011,"Listening Tree","AR8U8G41187B9A833B",nan,"",nan,"Tim Exile",0.0,369.57995,1,0.0,110.0,0.530025614171,4,0.662,"Fortress",2009
7451,"SOLFTJF12AB0183000",504793,"R&B In The Mix","AR58ZXX1187FB572F2",nan,"",nan,"Kardinal Offishall / Keri Hilson",0.0,224.28689,11,0.696,130.136,nan,4,0.641,"Numba 1 (Tide Is High)",2008
5278,"SODXVQZ12AC468707A",699549,"Degenerate Fuck Crew","ARWMZYB1187FB480A7",4.65637,"Bogotá D. C. Colombia",-74.11779,"The Aftermath",0.0,118.30812,8,0.369,166.648,nan,4,0.0,"Might As Well Laugh",0
5090,"SODRNQF12AB0182322",45175,"Bluesbreakers With Eric Clapton - Deluxe Edition","ARJ9DSA1187B990E00",nan,"",nan,"John Mayall & The Bluesbreakers",0.0,129.48853,2,0.151,117.73,nan,5,1.0,"I'm Your Witchdoctor",1988
649,"SOCYLNE12A81C223ED",181378,"Hairspray","ARCACMY11C8A42C870",nan,"",nan,"John Travolta / Christopher Walken",0.0,287.16363,4,0.201,128.685,0.530663030144,4,0.436,"(You're) Timeless To Me ("Hairspray")",0
7478,"SOMCPKY12AB0184197",639042,"Live","ARUKN9H1187B9B71C8",nan,"Atlanta GA",nan,"The Black Crowes",0.0,404.58404,7,0.417,119.713,nan,4,0.0,"Girl From A Pawnshop",1996
3000,"SOLMLUW12AB017D7E0",628421,"Ultimate Classical Chill Out","AR3AIEI1187B992D8D",54.31392,"Great Britain / UK",-2.23218,"Marilyn Horne / Wiener Opernorchester / Henry Lewis",0.0,391.70567,1,0.478,106.504,nan,4,0.499,"Mon coeur s'ouvre à ta voix",0
5231,"SOCRYER12A6701CD40",10168,"Neighborhood Watch","AR0CANF1187B9AF35F",34.05349,"Los Angeles California",-118.24532,"Dilated Peoples",0.0,236.59057,11,0.662,88.176,0.585452851776,4,0.622,"World On Wheels",2004
7820,"SOWTMAZ12A58A7DA40",393782,"The Story Of My Life","ARALUUG1187FB58696",30.43883,"Ponchatoula LA",-90.44116,"Irma Thomas",0.0,190.9024,3,0.287,131.0,0.0,4,0.0,"We All Need Love",2008
6865,"SODEWQE12A8C143E6A",376787,"The Very Best Of The 50's - Volume 3","ARWBAI21187B991E2E",41.88415,"UK - Northern Ireland",-87.63241,"Tommy Sands",0.0,153.0771,7,0.508,126.462,nan,1,0.0,"Goin' Steady",0
5455,"SOHLRVJ12A8C13A9A2",104787,"Life Won't Wait","ARF84A41187B9A34E7",37.87869,"Bay Area CA",-121.94345,"Rancid",0.0,113.47546,8,0.346,190.922,0.616797018841,3,0.167,"Black Lung (Album Version)",0
2015,"SOWPPKS12AB018E2F5",808040,"Urban Renewal Program - Supplement 1.5","AR6F6I21187FB5A3AA",nan,"",nan,"Aesop Rock",0.0,243.56526,7,0.376,102.429,nan,4,0.591,"Train Buffer",2002
4937,"SOXZXXV12AAF3B3A67",530141,"I Will Love Again","ARK4H5K1187B992F74",nan,"",nan,"Taras",0.0,200.25424,11,0.056,127.97,nan,4,0.0,"I Will Love Again (JJ's Club Radio)",0
7192,"SOBAQFM12AB018BE98",711248,"30 Country Classics","AR059HI1187B9A14D7",33.74831,"Atlanta GA",-84.39111,"Roy Drusky",0.0,163.36934,4,0.532,88.201,nan,3,0.34,"Wasted Days And Wasted Nights",0
172,"SOFAKTP12A8C13D296",302144,"Greatest Hits","ARLAEJO1187B98DB85",nan,"",nan,"FU-Schnickens",0.0,313.80853,6,0.109,90.846,0.503381236206,4,0.939,"Visions (20/20)",1994
8222,"SOGCCFL12AB0185B8C",416757,"Our Music Is Red  - With Purple Flashes","ARVSDB11187FB4270B",51.55615,"Middlesex England",-0.25969,"The Creation",0.0,147.69587,2,0.791,134.021,0.487492443417,4,0.382,"Try And Stop Me",1967
7551,"SOLOEUX12A58A7C81F",111304,"Rit/2","AR0BV7E1187FB386C1",nan,"Hollywood CA",nan,"Lee Ritenour",0.0,291.83955,10,0.353,82.733,0.380898979711,4,0.168,"Keep It Alive",1982
8794,"SOCOVXI12A6D4F856F",30079,"Grey Area","AR3LA671187FB567E4",nan,"",nan,"Grey Area",0.0,189.33506,4,0.325,127.221,0.352232225005,4,0.0,"All Time Low (Album Version)",1997
682,"SOKLDSG12AB0188032",422276,"Alex Gopher (Versailles Special Edition)","ARLBNAC1187FB47151",nan,"",nan,"Alex Gopher",0.0,164.0224,4,0.0,80.012,0.382935090075,4,0.931,"Song For Paul",2007
1065,"SOQHIVV12A6D4FB2BE",134156,"Lava Ground","ARLFUII1187FB565E5",nan,"",nan,"I Wayne",0.0,244.32281,6,0.508,67.606,0.464923994181,5,0.877,"Grow Proper",2005
1862,"SOHLSKT12A6D4F71B4",21616,"Black Dots","AR7Y6JX1187FB4D9B3",nan,"Washington D.C.",nan,"Bad Brains",0.0,118.04689,11,0.571,135.415,0.576315292379,4,0.0,"At The Atlantis",1996
146,"SOKJNAP12A81C22CAA",131443,"Lauluja rakkaudesta","AR22KLC1187B98E812",nan,"",nan,"Kaija Koo",0.0,182.33424,1,0.528,167.857,0.530385795147,3,0.923,"Viimeinen lento",1993
7459,"SOWPLTX12A5891F918",779118,"At Night (The Unreleased Mixes)","ARVNK831187FB48831",37.27188,"California",-119.27023,"Shakedown",0.0,437.9424,3,0.256,123.994,nan,4,0.95,"At Night",2001
3291,"SOFHDYS12AB0184708",751480,"The Collective_ Vol. 1","ARTQZKW11EB9C80B4C",53.89128,"CANADA - Québec",-68.43114,"Neema",0.0,227.02975,6,0.001,136.223,nan,4,0.24,"Goodfellas",0
2895,"SOSFVEI12A6D4F7C84",22067,"The Master Musicians of Jajouka","AR0N0DX1187FB41327",51.50632,"London England",-0.12714,"The Master Musicians of Jajouka featuring Bachir Attar",0.0,623.72526,8,0.443,131.578,0.304169503435,4,0.519,"The Truth Forever",0
9821,"SOCWCQL12AF72A3A5A",275254,"The Greatest Story Ever Told","AREMPZY1187B9B8FF3",nan,"Jackson MS",nan,"David Banner",0.0,72.4371,3,0.159,167.018,nan,4,0.789,"Syrup Sipping (Banner Beat Break)",2008
8550,"SOZBNUO12A8C133D8A",90302,"Situations","ARSYHZ21187B99F5F5",nan,"",nan,"Tina Ann",0.0,237.53098,10,0.022,134.017,nan,4,0.871,"I Do (Chris The Greek Remix)",2003
6222,"SOOHEFF12A6D4F68A6",25735,"The Essential UFO","AROATPL1187FB48E12",34.16788,"Arizona",-111.9307,"UFO",0.0,313.7824,2,0.041,86.595,nan,1,0.0,"Out In The Street",0
9452,"SOGQIEK12AB0186792",767896,"THAT GIRL","AR0NQD81187FB3AD13",32.74863,"Fort Worth TX",-97.32925,"Gary Morris",0.0,305.10975,10,0.283,130.72,nan,4,0.273,"That Girl",0
2380,"SOKSBCY12AB01814A4",416731,"Perdus Corps et Biens","AR4F94Q1187FB43432",nan,"",nan,"DÉSOLÉ",0.0,145.08363,0,0.009,77.581,nan,4,0.144,"Provisoirement",0
3304,"SOJZZVE12A58A7999D",46067,"House Full Of No Trust","ARPVFV91187B98BB94",nan,"",nan,"Cinder",0.0,167.26159,11,0.786,120.122,0.3759843015,4,1.0,"Mirror (Album)",2006
7965,"SOMAYCY12A6D4F936C",36412,"In Other Words","ARY1QJF1187B98EF3F",34.05349,"California - LA",-118.24532,"Kathleen Madigan",0.0,92.00281,7,0.0,87.392,0.340857094582,1,0.632,"Oprah (Album Version)",2006
1248,"SOFBSQK12AB01888C6",568493,"The Mighty Morwells Presents Gregory Isaacs","AR57Z841187B9B7D7D",nan,"Kingston Jamaica",nan,"Gregory Isaacs",0.0,232.59383,0,0.687,159.89,0.215080318509,1,0.0,"Saddam",0
5116,"SORLCKK12A58A7BAB4",148146,"Love Life","ARUUXNF1187B98FB36",nan,"",nan,"Charlie Peacock",0.0,291.21261,1,0.413,100.862,0.0,4,0.95,"After Lovin You (Love Life Album Version)",1991
3405,"SOXBRRT12A6D4FADBE",176375,"Zapp V","AR4GJ3V1187FB4245B",39.75911,"Dayton OH",-84.19444,"Zapp",0.0,244.53179,11,0.16,110.444,0.352232225005,4,1.0,"Rock Star (LP Version)",0
8057,"SOLLEZO12AC90756A5",785330,"À table (Chansons bleues ou à poing)","AR9696A1187FB550A1",nan,"",nan,"Nicolas Bacchus",0.0,178.15465,5,0.331,143.061,nan,1,0.0,"Peter Pan (j'veux pas être jeune) [feat. Les Pistons Flingueurs]",0
1792,"SOCPYWK12AB01832C7",627001,"Pop Pop / Canyon","ARXAHU31187B9B1520",51.50632,"London",-0.12714,"Vex'd",0.0,365.03465,11,0.03,149.96,0.583678295608,4,0.0,"Canyon",2005
2988,"SOJQTNZ12AB018115B",400773,"Built From Scratch","ARXW2MN1187B9B8817",nan,"New York NY",nan,"X-ecutioners",0.0,286.77179,10,0.09,76.166,nan,5,0.807,"Play That Beat",2001
8060,"SOTIBYV12A8C135CF7",291456,"Star Live Concert","ARZ8IPU1187FB38846",nan,"",nan,"A-Mei",0.0,71.88853,1,0.089,120.232,nan,4,0.782,"Intro",2008
3609,"SOAXFFT12A6D4F7B45",33949,"Take Two","ARJ84561187B993E3E",nan,"",nan,"Ill Harmonics",0.0,59.03628,9,0.329,180.415,nan,3,1.0,"Profound Sound (Take Two Album Version)",0
4005,"SOKQNQT12A8C134DFC",282841,"Just Kiddin' Around","ARXZIHJ1187B9A4ED9",41.94508,"Attleboro MA",-71.28109,"Ray Conniff;Billy Butterfield",0.0,132.8322,10,0.694,89.148,nan,4,0.551,"Alexander's Ragtime Band",0
6749,"SONUYNP12C41E0741F",22096,"#8","AR93D4D1187FB3ACAD",35.472,"Oklahoma City OK",-97.52033,"J.J. Cale",0.0,202.94485,6,0.407,133.398,nan,1,0.0,"Trouble In The City",1983
755,"SOKQQDO12A8C13471A",188215,"Most Wanted","ARLTW641187B9B6D3C",nan,"",nan,"Paul Buckmaster",0.0,73.50812,10,0.001,161.665,0.0,7,0.686,"The Interrogation",0
1320,"SOBKDCU12A6D4F80F6",312635,"The Motown Years 50","ARXPPEY1187FB51DF4",nan,"",nan,"Michael Jackson",0.0,188.99546,3,0.721,111.459,0.506905064197,4,0.884,"Girl You're So Together",1984
4040,"SORTLYF12A8C1461FC",431153,"The Psychedelic Scene","AR44SDE1187FB4DC8A",nan,"",nan,"23rd Turnoff",0.0,143.80363,4,0.238,91.118,nan,1,0.0,"Michaelangelo",2001
2986,"SOLKIQV12AC3DF5531",740622,"Niney Presents: No Hiding Place!","ARIRD6J1187FB5A98C",18.01571,"Kingston Jamaica",-76.79731,"Sugar Minott",0.0,258.01098,0,0.0,156.972,nan,4,1.0,"Mash Up Mi Life",0
2350,"SORJPQM12A8C1338BB",284474,"Danielpour:  Concerto for Orchestra","ARJDUON1187B989F69",nan,"",nan,"David Zinman;Pittsburgh Symphony Orchestra",0.0,641.48853,0,0.426,170.899,nan,7,0.621,"Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo",0
178,"SOQUEMR12A6D4FAD07",226013,"So Cal Drunks","AR8YV0M1187B99F3E8",nan,"",nan,"Mix Mob",0.0,237.45261,9,0.18,90.621,0.0,4,0.322,"Who's 2 Blame",0
3327,"SOUHUYT12A67021546",7086,"Fortitude","ARO344A1187B9B65C3",nan,"Kansas",nan,"Fortitude",0.0,260.46649,10,0.605,88.025,nan,4,1.0,"He's Alright (Album Version)",0
2903,"SOERWEA12A6D4F4CB8",29186,"Ascolta","ARI6OUG1187B989234",nan,"",nan,"Izzy",0.0,277.10649,1,0.659,88.761,0.3759843015,1,0.0,"Going Home",0
7877,"SOBLUAT12A8C140982",219484,"Cajun Honky Tonk","ARHCHE61187B9AB217",30.23513,"Rayne LA",-92.26831,"Harry Choates",0.0,177.78893,9,0.105,89.803,nan,4,1.0,"Jolie Blon's Gone",2005
9227,"SOPHDZJ12A6D4F95CD",45348,"Le Bordel Magnifique","ARZBYDY1187FB46DD7",42.54843,"Vernet les Bains",2.38596,"Cali",0.0,328.14975,0,0.374,99.993,0.265861049211,5,0.89,"Il Y A Une Question (Live)",2006
6966,"SONLXKV12A8C13CD49",218508,"25 Years/25 Songs","AR82GTS1187FB5662F",53.41961,"Ireland",-8.24055,"Mary Black",0.0,283.61098,10,0.587,116.673,0.599710295639,4,0.713,"Katie",1987
8366,"SOFEETM12A8C13D151",119880,"Conviction","ARJ8PZJ1187B99314F",nan,"Seattle Washington",nan,"Aiden",0.0,206.8371,2,0.292,163.604,0.0,4,0.478,"Teenage Queen (Album Version)",2007
6522,"SOQYKJX12A8AE4968F",138006,"The Best Of Ill Niño","ARQATWU1187B98EE26",40.14323,"Nueva Jersey (Estados Unidos)",-74.72671,"Ill Nino",0.0,180.50567,8,0.13,104.984,0.0,4,0.893,"What You Deserve (Album Version)",2006
8898,"SOZCQBJ12A8C13E811",174574,"Abrazame Fuerte","ARP2TO91187B9913EA",29.95369,"New Orleans LA",-90.07771,"Angelica Maria",0.0,160.83546,0,0.789,81.649,nan,4,0.892,"Te Necesito",0
8069,"SOUDOMR12AB017F3DC",484483,"Fortune My Foe","ARW3KQ51187B9A0E0C",nan,"",nan,"Les Witches",0.0,162.61179,0,0.0,39.899,0.0,4,0.0,"Cupareree or Graysinn",0
4440,"SONRUXD12A6D4F4A5E",27867,"Doe Or Die","ARKQ9JM1187FB57521",nan,"Oakland CA",nan,"A.Z.",0.0,203.10159,11,0.072,88.064,nan,4,1.0,"We Can't Win (Explicit)",1995
932,"SOJRUHL12A813557F6",129267,"The Warriors EP_ Vol. 2","AR65OLD1187FB5C103",nan,"",nan,"P.O.D.",0.0,188.94322,1,0.554,125.528,0.513517028537,5,0.617,"Ya Mama (Palm Springs Demo)",0
982,"SONURCP12A58A784D6",71408,"The Complete Mercury Masters","AR25LGJ1187B9B2492",29.42449,"San Antonio TX",-98.49462,"Sir Douglas Quintet",0.0,193.59302,4,0.818,85.2,0.0,4,0.0,"She's About A Mover",0
5729,"SOJPOIO12AB0184888",630579,"Abnormal","AR1ZZOW1187B99BA84",40.14323,"New Jersey",-74.72671,"Bumblefoot",0.0,200.35873,2,0.487,98.784,0.272245680006,4,0.26,"Piranha",2008
3851,"SOFSJFF12AB018432C",448416,"Bobby's Girl - The Complete Seville Recordings","ARRBINW1187B98AE6D",40.65507,"Brooklyn NY",-73.94888,"Marcie Blane",0.0,136.38485,2,0.68,86.708,0.0,4,0.261,"Wer Einmal 'A' Gesagt (What Does A Girl Do?)",2004
4138,"SOOKARV12A58A79B73",420785,"High Kicks","ARQZTGO11E8F5C0768",nan,"",nan,"The Stolen Minks",0.0,233.45587,2,0.467,112.152,0.0,4,0.816,"Your Broken Heart",0
9677,"SOEKBBG12AB017E5D7",500031,"Tribute to the Grand Ole Opry - Vol. 2","ARUVPZF1187FB4880D",nan,"Tennessee",nan,"Charlie Louvin",0.0,138.55302,6,0.058,130.231,0.426646584871,4,0.0,"See The Big Man Cry",0
4537,"SOAXMZC12A6D4F67A6",32217,"The Best Of Kenny Rogers","ARO4WQR1187B9B9825",nan,"Houston TX",nan,"Kenny Rogers",0.0,188.96934,0,1.0,174.785,0.345802233965,4,0.092,"The Son Of Hickory Holler's Tramp",1977
7916,"SOHERZY12A8C13C62F",261440,"North Amerikay","ARDGFTD11F4C83C209",nan,"",nan,"Dale Russ / Finn MacGinty",0.0,169.16853,7,0.806,190.605,nan,1,0.0,"Hornpipes: The First of May / the New Century",0
1174,"SOAEGMV12A8C1455F2",525626,"Voyeur","ARYBGMF1187FB4D82C",nan,"Los Angeles CA",nan,"Berlin",0.0,255.32036,11,0.741,104.04,0.270775998946,4,1.0,"Blink Of An Eye (Alternative)",2002
2878,"SOFKOUI12A58A7F55C",536523,"Donde Estas Corazon","ARXTM8U1187B99F200",nan,"",nan,"Pablo Montero",0.0,199.94077,2,0.656,100.048,0.0,4,1.0,"Ni Gota De Rencor",0
1187,"SOIBRVU12A6D4F98A4",40313,"In My Own Dreams","ARHWVGW1187FB41479",nan,"",nan,"The Paul Butterfield Blues Band",0.0,289.61914,7,0.309,86.278,0.582234289786,4,1.0,"Last Hope's Gone (LP Version )",0
7211,"SODMTUR12A8C13C8A4",112850,"Walkin' In The Sun","AR8H87D1187FB3A841",34.03142,"Delight AR",-93.50243,"Glen Campbell",0.0,202.70975,1,1.0,152.082,nan,3,0.697,"Woodcarver",0
7224,"SOFNTHT12A58A7D462",716004,"Misfortunes","ARVWIEH1187B9B39B5",nan,"Long Island NY",nan,"This Is Hell",0.0,119.7971,8,0.184,150.006,0.733956330552,4,0.0,"RECKLESS",2008
7601,"SOKUHGH12AB017FB12",455287,"If You Love These Blues_ Play'em As You Please","ARFONSP11F50C4D175",nan,"",nan,"Michael Bloomfield",0.0,271.85587,0,0.692,74.392,0.288481642656,3,0.397,"I Must See Jesus",0
839,"SOUAFUV12AB018A8FC",759531,"Selected Recordings","ARH42KA11C8A416880",37.77916,"California - SF",-122.42005,"Peloton",0.0,238.05342,4,0.208,70.229,nan,4,0.359,"Beloki",0
3313,"SOBSEXG12AB0180DD4",536869,"Shakin' The House Live","ARX4D1E1187B9A9C4D",40.21787,"Trenton NJ",-74.7594,"Carman featuring Commissioned & The Christ Church Choir",0.0,326.26893,7,0.0,135.507,nan,4,0.683,"Let The Church Rise",0
9923,"SOPPWUZ12AB0180E3C",550688,"Special Homecoming Moments","ARDFZE61187FB45994",35.83073,"Tennessee",-85.97874,"Jake Hess",0.0,298.89261,10,0.35,99.958,0.253834736132,4,0.741,"I Know Where I Am Now",2004
